"month","dengueCases","dhfCases","num_of_chikungunya_cases","num_of_malaria_cases","num_of_yellow_fever_cases","num_of_zika_cases","year","population","month_only","dengueIncidence","dhfIncidence","mean_temperature","mean_humidity","total_rainfall","numOfDays","num_of_rain_days","proportion_of_rainy_days","mean_sunshine_hrs","meanPSI","meanPM2.5","temp_mean_daily_min","temp_mean_daily_max"
Jan 2012,284,5.43,2,8.42857142857143,0,NA,"2012",5312437,"01",53.4594574956842,1.02212976831537,26.7,87.3,106.1,31,16,0.516129032258065,6,NA,NA,24.3,30.6
Feb 2012,281.43,1.57,1.57142857142857,3.57142857142857,0,NA,"2012",5312437,"02",52.9756870528535,0.295532916437409,27.2,85.6,83.6,29,11,0.379310344827586,7,NA,NA,24.8,31.1
Mar 2012,252.57,2,2.42857142857143,12,0,NA,"2012",5312437,"03",47.5431520411442,0.376475052786508,27,87.3,313.4,31,21,0.67741935483871,4.2,NA,NA,24.4,31.1
Apr 2012,298.57,1.57,2,10.5714285714286,0,NA,"2012",5312437,"04",56.2020782552339,0.295532916437409,27.6,85.1,260.6,30,20,0.666666666666667,5.8,NA,NA,24.8,31.4
May 2012,375.29,2.43,1,6.85714285714286,0,NA,"2012",5312437,"05",70.6436612801244,0.457417189135608,28.2,83.1,292,31,19,0.612903225806452,5.6,NA,NA,24.8,31.7
Jun 2012,488.14,3,0,18.5714285714286,0,NA,"2012",5312437,"06",91.8862661336031,0.564712579179762,28.7,79,53,30,8,0.266666666666667,6,NA,NA,26.3,31.6
Jul 2012,545.29,2,0,23.1428571428571,0,NA,"2012",5312437,"07",102.644040766978,0.376475052786508,27.7,81.1,130.8,31,17,0.548387096774194,6.2,NA,NA,25.3,30.8
Aug 2012,475.14,0,0,15.7142857142857,0,NA,"2012",5312437,"08",89.4391782904908,0,27.9,79.8,119,31,12,0.387096774193548,6.1,NA,NA,25.4,31
Sep 2012,348.29,3.14,0.142857142857143,11.5714285714286,0,NA,"2012",5312437,"09",65.5612480675065,0.591065832874818,27.9,79.7,107.6,30,10,0.333333333333333,5.6,NA,NA,25.3,31.3
Oct 2012,458.71,1.86,5.42857142857143,16.1428571428571,0,NA,"2012",5312437,"10",86.3464357318496,0.350121799091453,27.7,81.3,122.2,31,13,0.419354838709677,5.9,NA,NA,25.2,31.7
Nov 2012,398.14,3,1.42857142857143,6,0,NA,"2012",5312437,"11",74.9448887582102,0.564712579179762,27.1,85.4,208.2,30,22,0.733333333333333,4.4,NA,NA,24.7,31.4
Dec 2012,434.14,4.57,6,10.7142857142857,0,NA,"2012",5312437,"12",81.7214397083674,0.860245495617172,26.7,87,363.4,31,22,0.709677419354839,3.6,NA,NA,24.4,30.6
Jan 2013,989.86,6.14,3,2.71428571428571,0,NA,"2013",5399162,"01",183.335858416547,1.13721351572707,27.1,82.1,262,31,15,0.483870967741935,6,NA,NA,24.6,30.8
Feb 2013,1121.86,4.71,3.42857142857143,3,0,NA,"2013",5399162,"02",207.784096865402,0.872357599197801,26.5,86.9,395.2,28,22,0.785714285714286,4,NA,NA,24.3,30.1
Mar 2013,1326,7.14,22.4285714285714,5.42857142857143,0,NA,"2013",5399162,"03",245.593668054413,1.32242744336992,28.3,80.4,85.8,31,10,0.32258064516129,7.5,NA,NA,25.6,32.4
Apr 2013,2111,10.43,86.2857142857143,14.2857142857143,0,NA,"2013",5399162,"04",390.986601254046,1.93178126531488,28.2,82.7,159.4,30,19,0.633333333333333,5.2,NA,NA,25.3,32.1
May 2013,2752.57,8.43,109.428571428571,17.1428571428571,0,NA,"2013",5399162,"05",509.814300811867,1.56135341002919,28.2,83.1,211.4,31,17,0.548387096774194,5.4,NA,NA,25.6,31.8
Jun 2013,3460.57,13.86,156.142857142857,11.2857142857143,0,NA,"2013",5399162,"06",640.945761583001,2.56706503712984,29,74.6,111.4,30,12,0.4,6.4,NA,NA,25.9,32.6
Jul 2013,1978,5.29,96.8571428571429,11.4285714285714,0,NA,"2013",5399162,"07",366.353148877548,0.979781677230652,27.8,79.9,174.6,31,15,0.483870967741935,5.7,NA,NA,25.2,31.1
Aug 2013,1476.43,8.43,95.4285714285714,17.4285714285714,0,NA,"2013",5399162,"08",273.455399189726,1.56135341002919,27.9,79,165.6,31,15,0.483870967741935,6.1,NA,NA,25.1,31
Sep 2013,1683.43,15.57,166.857142857143,11.5714285714286,0,NA,"2013",5399162,"09",311.794682211795,2.8837808533991,27.5,81.3,257,30,19,0.633333333333333,4.6,NA,NA,24.8,30.6
Oct 2013,1941,8.14,87.8571428571429,2.42857142857143,0,NA,"2013",5399162,"10",359.500233554763,1.50764137101276,27.7,79.9,285.4,31,19,0.612903225806452,6.3,NA,NA,24.6,31.4
Nov 2013,1710.57,3.29,123.285714285714,8,0,NA,"2013",5399162,"11",316.821388208022,0.609353821944961,27.1,84.6,292.4,30,22,0.733333333333333,4.5,NA,NA,24.5,31.3
Dec 2013,1698.86,1.43,116.142857142857,6.42857142857143,0,NA,"2013",5399162,"12",314.652533115324,0.264855916529269,26.5,85.8,348.2,31,21,0.67741935483871,3.5,NA,NA,24.1,30.2
Jan 2014,1665.71,0.57,88,4.57142857142857,0,NA,"2014",5469724,"01",304.532733278681,0.104210011327811,26.2,78.5,75.4,31,5,0.161290322580645,5.3,NA,NA,24,29.6
Feb 2014,1027.86,2.86,34.4285714285714,0,0,NA,"2014",5469724,"02",187.918074111235,0.522878302451824,27.2,74.5,0.2,28,1,0.0357142857142857,8.8,NA,NA,24.5,31.9
Mar 2014,963.14,2.14,11.7142857142857,6,0,NA,"2014",5469724,"03",176.085667210996,0.391244603932484,27.9,76,66,31,6,0.193548387096774,8,NA,NA,25.1,32.8
Apr 2014,1075.86,1,6.28571428571429,7.57142857142857,0,NA,"2014",5469724,"04",196.693654012524,0.182824581276861,28.2,80,110,30,17,0.566666666666667,5.7,59.4353260869565,19.8543236714976,25.5,32.4
May 2014,1542.57,1,7.42857142857143,2.42857142857143,0,NA,"2014",5469724,"05",282.019714340248,0.182824581276861,28.6,80.2,125.8,31,18,0.580645161290323,5.8,52.2618279569893,14.8588709677419,25.8,32.1
